Protokoll,Format,PayloadGroesse,Run,Serialization_ns,Deserialization_ns,RTT_Anwendung_ns
mqtt,protobuf,100,run1,37382577,21297669,3685909
mqtt,protobuf,100,run2,43611252,20149478,4637340
mqtt,protobuf,100,run3,44859880,21209614,4004904
mqtt,protobuf,1000,run1,42345576,17593053,3456110
mqtt,protobuf,1000,run2,44662179,20361109,4853401
mqtt,protobuf,1000,run3,43605865,22307297,3694227
mqtt,protobuf,10000,run1,50384621,20699188,3664906
mqtt,protobuf,10000,run2,40667907,20431534,3794678
mqtt,protobuf,10000,run3,45892476,21951790,3896010
mqtt,protobuf,100000,run1,53065077,20169111,6122131
mqtt,protobuf,100000,run2,46229914,19094627,4263616
mqtt,protobuf,100000,run3,47775131,18949710,6823904
mqtt,protobuf,1000000,run1,55841592,19093200,5724911
mqtt,protobuf,1000000,run2,70068138,20449418,7460503
mqtt,protobuf,1000000,run3,60903318,21230277,6218455
mqtt,protobuf,10000000,run1,59071529,25622010,23469488
mqtt,protobuf,10000000,run2,57702036,26419622,30800926
mqtt,protobuf,10000000,run3,62262991,26020641,24861790
mqtt,cbor,100,run1,18078916,20941059,3652767
mqtt,cbor,100,run2,17815389,21595443,5732344
mqtt,cbor,100,run3,18352868,20579762,4062509
mqtt,cbor,1000,run1,20485624,20297116,4189207
mqtt,cbor,1000,run2,25140628,30618708,4543589
mqtt,cbor,1000,run3,19285984,23201862,3919889
mqtt,cbor,10000,run1,19255193,41888344,4493837
mqtt,cbor,10000,run2,20927183,22486772,5018803
mqtt,cbor,10000,run3,19575976,24492889,4076970
mqtt,cbor,100000,run1,22504121,28028663,5457184
mqtt,cbor,100000,run2,20734343,24365838,4491245
mqtt,cbor,100000,run3,20613711,27836458,4762249
mqtt,cbor,1000000,run1,25523113,35089472,7428744
mqtt,cbor,1000000,run2,26734000,36034267,6183276
mqtt,cbor,1000000,run3,26357449,37024729,7659871
mqtt,cbor,10000000,run1,54147553,76990305,30585228
mqtt,cbor,10000000,run2,54795715,72212436,25278002
mqtt,cbor,10000000,run3,56634253,74208517,28114440
tcp,json,100,run1,26606450,28540619,177581588
tcp,json,100,run2,26473906,31825417,181384599
tcp,json,100,run3,24075092,33759654,199269810
tcp,json,1000,run1,27282474,26817092,175516960
tcp,json,1000,run2,22361029,45049110,215255355
tcp,json,1000,run3,29871412,33567749,225631616
tcp,json,10000,run1,22978950,30970187,181889732
tcp,json,10000,run2,25344421,31715232,187655671
tcp,json,10000,run3,23017781,29244962,191537230
tcp,json,100000,run1,22732873,30809427,174148876
tcp,json,100000,run2,24385797,39401590,218298131
tcp,json,100000,run3,23823962,33883596,180789422
tcp,json,1000000,run1,30213688,43052289,203867695
tcp,json,1000000,run2,31435199,40135201,194785442
tcp,json,1000000,run3,34126486,40062376,192847315
tcp,json,10000000,run1,44991735,74235992,294320543
tcp,json,10000000,run2,44892824,71793260,287717615
tcp,json,10000000,run3,48392573,78911396,292686595
tcp,xml,100,run1,33549362,47400299,353897046
tcp,xml,100,run2,27240347,34454674,254772012
tcp,xml,100,run3,23595276,35930762,261645238
tcp,xml,1000,run1,25426451,37361409,251043788
tcp,xml,1000,run2,24307668,34753350,246609750
tcp,xml,1000,run3,24629085,34056069,234266264
tcp,xml,10000,run1,26124416,35408373,247976224
tcp,xml,10000,run2,23630875,34265495,250331980
tcp,xml,10000,run3,28265394,36562664,241056516
tcp,xml,100000,run1,28233883,40922550,262108436
tcp,xml,100000,run2,29735707,42805378,251758523
tcp,xml,100000,run3,32151338,39030598,254797511
tcp,xml,1000000,run1,37351071,53887261,306094570
tcp,xml,1000000,run2,34801454,55274951,270359796
tcp,xml,1000000,run3,34867820,59880229,301077810
tcp,xml,10000000,run1,69155104,94880183,353253458
tcp,xml,10000000,run2,71241547,93576437,332094486
tcp,xml,10000000,run3,67625797,100990919,358075125
tcp,messagepack,100,run1,40715249,32169373,182871998
tcp,messagepack,100,run2,43827735,26259493,194803970
tcp,messagepack,100,run3,50321011,31226221,193612368
tcp,messagepack,1000,run1,43834657,28766882,184724066
tcp,messagepack,1000,run2,43566089,25397248,184544876
tcp,messagepack,1000,run3,41502832,33125276,195810843
tcp,messagepack,10000,run1,46014495,34752699,182622046
tcp,messagepack,10000,run2,45877810,28460064,178844975
tcp,messagepack,10000,run3,47914304,27934947,185513923
tcp,messagepack,100000,run1,39171217,25295764,165449784
tcp,messagepack,100000,run2,42864441,27559541,184455138
tcp,messagepack,100000,run3,38329803,25095125,168916668
tcp,messagepack,1000000,run1,48297562,35241768,196351887
tcp,messagepack,1000000,run2,48307468,32489871,195539411
tcp,messagepack,1000000,run3,45954580,27879257,199933008
tcp,messagepack,10000000,run1,60646426,35103263,259185382
tcp,messagepack,10000000,run2,63722063,34399466,279389083
tcp,messagepack,10000000,run3,60581176,35775003,232387836
tcp,protobuf,100,run1,46644873,66999069,73024738
tcp,protobuf,100,run2,49924795,76586770,84285512
tcp,protobuf,100,run3,44161047,111643068,118579958
tcp,protobuf,1000,run1,42703662,78738315,85686250
tcp,protobuf,1000,run2,45919578,70207794,76405987
tcp,protobuf,1000,run3,43519332,66962777,74857192
tcp,protobuf,10000,run1,48925240,67644424,73740745
tcp,protobuf,10000,run2,44502583,68757270,74708421
tcp,protobuf,10000,run3,49354142,66214588,73552069
tcp,protobuf,100000,run1,44562980,64049767,71912138
tcp,protobuf,100000,run2,49572109,64683367,71450899
tcp,protobuf,100000,run3,48098901,70969169,78457537
tcp,protobuf,1000000,run1,55759322,77960318,90698253
tcp,protobuf,1000000,run2,61674623,76709951,89873494
tcp,protobuf,1000000,run3,60796460,74830683,86618250
tcp,protobuf,10000000,run1,58981648,82953954,138246882
tcp,protobuf,10000000,run2,62296167,81458597,136968806
tcp,protobuf,10000000,run3,56944740,79360248,132675110
tcp,cbor,100,run1,19291490,24947586,185717180
