Testfall,Datenformat,Groesse_Bytes,Serialisierungszeit_ns,Deserialisierungszeit_ns,CPU_Zeit_s,Status
"Rekursiv (Tiefe 9, Breite 2)",YAML,57418,127545,236856,0.5156,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",BSON,57418,127058,235514,0.3750,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",TOML,,,,Fehlerhaft
"Rekursiv (Tiefe 9, Breite 2)",Avro,17600,120396,419230,1.6563,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",Protobuf,23670,219404,215395,1.1563,Erfolgreich
"Rekursiv (Tiefe 9, Breite 2)",CSV,,,,Fehlerhaft
"Rekursiv (Tiefe 9, Breite 2)",INI,,,,Fehlerhaft
"Dokument (3 Positionen, 5k Läufe)",JSON,2167,9234,36579,0.9375,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",XML,2886,454595,692347,19.5781,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",MessagePack,2167,11401,24087,0.7031,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",CBOR,2167,8674,15379,0.5469,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",YAML,2167,8336,17746,0.4063,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",BSON,2167,7360,14492,0.4219,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",TOML,2210,127957,117388,4.2500,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",Avro,1440,14194,38873,1.2969,Erfolgreich
"Dokument (3 Positionen, 5k Läufe)",Protobuf,1463,11867,15558,0.4688,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",JSON,27293,72831,199407,1.0156,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",XML,55789,841613,1583138,10.0781,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",MessagePack,27293,55568,94242,0.3125,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",CBOR,27293,63390,101120,0.2188,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",YAML,27293,57424,88029,0.3125,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",BSON,27293,56159,93902,0.3438,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",TOML,30685,877443,2533518,4.9219,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",Avro,13936,80127,267398,1.5469,Erfolgreich
"Dokument (200 Positionen, 1k Läufe)",Protobuf,14549,79213,80276,0.7031,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",JSON,3689,32217,68055,0.7813,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",XML,6100,641343,970598,13.6719,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",MessagePack,3689,12803,25745,0.3438,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",CBOR,3689,10710,21863,0.1250,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",YAML,3689,10340,16166,0.1875,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",BSON,3689,9428,15240,0.2031,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",TOML,3936,137449,190828,2.8750,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",Avro,2193,27531,66935,0.7500,Erfolgreich
"Dokument (15 Positionen, 2k Läufe)",Protobuf,2252,24246,18933,0.3750,Erfolgreich
